matrix=data/matrices/bcsstk37.mtx n=25503 seed=6
iter res_d res_f res_ffma res_p32q res_p32n solerr_d solerr_f solerr_ffma solerr_p32q solerr_p32n pAp_d pAp_p32q pAp_p32n rz_d rz_p32q rz_p32n guard_p32q guard_p32n
0 3.5237779552e+08 3.5237332953e+08 3.5237334172e+08 3.5238394571e+08 3.4840505695e+08 4.1647218607e+01 4.1647096260e+01 4.1647093463e+01 4.1647275004e+01 4.1631500889e+01 2.1993688552e+11 2.1993671885e+11 2.1987695002e+11 1.0920230938e+11 1.0920237466e+11 1.0913133363e+11 0 0
1 1.6469156795e+08 1.6469063146e+08 1.6469061190e+08 1.6469320674e+08 1.6340972857e+08 2.7532137021e+01 2.7532163561e+01 2.7532163842e+01 2.7532136688e+01 2.7535859991e+01 3.4459689787e+10 3.4459811840e+10 3.4434318336e+10 1.7708663502e+10 1.7708711936e+10 1.7692000256e+10 0 0
2 9.9780381622e+07 9.9778861314e+07 9.9778861314e+07 9.9780147271e+07 9.8872432369e+07 2.2540851129e+01 2.2540892709e+01 2.2540892202e+01 2.2540843994e+01 2.2542931057e+01 1.4953099966e+10 1.4953119744e+10 1.4936129536e+10 5.9042487724e+09 5.9042529280e+09 5.8966917120e+09 0 0
3 7.2217075677e+07 7.2215951410e+07 7.2215966279e+07 7.2216746870e+07 7.1727887075e+07 2.0931850035e+01 2.0931856184e+01 2.0931854581e+01 2.0931845081e+01 2.0930221148e+01 8.2268136630e+09 8.2268160000e+09 8.2148065280e+09 2.9762019666e+09 2.9762007040e+09 2.9715251200e+09 0 0
4 4.7870989865e+07 4.7870448095e+07 4.7870459310e+07 4.7871255574e+07 4.7644626927e+07 1.8841509555e+01 1.8841500637e+01 1.8841498524e+01 1.8841505947e+01 1.8841722997e+01 2.5877370269e+09 2.5877340160e+09 2.5835110400e+09 1.1569101152e+09 1.1569080320e+09 1.1549194240e+09 0 0
5 3.9636098251e+07 3.9635379937e+07 3.9635388403e+07 3.9636224813e+07 3.9418909780e+07 1.7928887984e+01 1.7928879394e+01 1.7928877556e+01 1.7928884719e+01 1.7929635853e+01 1.7784221975e+09 1.7784176640e+09 1.7750896640e+09 7.0039529649e+08 7.0039347200e+08 6.9903923200e+08 0 0
6 3.0716691643e+07 3.0716003136e+07 3.0716005321e+07 3.0716744873e+07 3.0569295124e+07 1.7690625141e+01 1.7690613317e+01 1.7690610444e+01 1.7690622548e+01 1.7690247394e+01 8.6212198183e+08 8.6211993600e+08 8.6039910400e+08 3.8816665941e+08 3.8816563200e+08 3.8738662400e+08 0 0
7 2.4249019971e+07 2.4248412713e+07 2.4248418248e+07 2.4249028487e+07 2.4147859529e+07 1.7193277749e+01 1.7193266934e+01 1.7193263927e+01 1.7193277650e+01 1.7192938756e+01 5.7751737108e+08 5.7751552000e+08 5.7636608000e+08 2.5019946721e+08 2.5019865600e+08 2.4969497600e+08 0 0
8 1.9515967697e+07 1.9515344609e+07 1.9515344609e+07 1.9515868156e+07 1.9439572848e+07 1.6356275476e+01 1.6356272333e+01 1.6356270515e+01 1.6356277341e+01 1.6356995279e+01 3.7387724866e+08 3.7387596800e+08 3.7311744000e+08 1.6297488812e+08 1.6297433600e+08 1.6263616000e+08 0 0
9 1.5930702007e+07 1.5930267127e+07 1.5930271339e+07 1.5930708397e+07 1.5887513352e+07 1.5491031968e+01 1.5491048768e+01 1.5491047072e+01 1.5491035921e+01 1.5492210161e+01 2.1949683012e+08 2.1949619200e+08 2.1902752000e+08 1.0119288289e+08 1.0119254400e+08 1.0097392000e+08 0 0
